,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std
190,000631.SZ,顺发恒业,房地产,7735410954.24,16.4786,45.8186,9.6915,-7.0551,-5.0314,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
202,000656.SZ,金科股份,房地产,40635237359.76,18.0952,75.9214,17.0048,4.2466,-14.5861,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
210,000667.SZ,美好置业,房地产,7243646299.56,3.4876,-76.9511,28.7261,1.0714,-3.5336,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
211,000668.SZ,荣丰控股,房地产,2383243874.7,1.2063,-20.7244,36.0149,26.7969,0.3081,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
213,000671.SZ,阳光城,房地产,27702501474.6,14.3268,75.3028,21.0888,-18.0838,-8.9321,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
248,000718.SZ,苏宁环球,房地产,11713696442.24,12.2182,-8.4578,17.8179,-4.9261,-3.3126,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
260,000732.SZ,泰禾集团,房地产,22611669582.4,14.7813,67.6052,34.8387,-4.0655,-14.6946,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
263,000736.SZ,中交地产,房地产,5001773078.94,36.9763,52.4331,54.5647,21.2973,-12.656,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
295,000797.SZ,中国武夷,房地产,6786062361.82,5.5288,63.3915,15.8034,-9.4406,-7.529,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
303,000809.SZ,铁岭新城,房地产,2309415620.4,3.0653,-4.4004,32.5173,-5.0847,-3.2143,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
324,000838.SZ,财信发展,房地产,4335820949.8,6.2004,-75.6504,91.5506,-1.2531,-14.467,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
377,000926.SZ,福星股份,房地产,7199219305.52,10.703,-0.8752,42.7607,-4.1026,-8.0214,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
399,000961.SZ,中南建设,房地产,32646141413.6,13.9462,271.6044,25.6786,-7.3684,1.1364,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
402,000965.SZ,天保基建,房地产,4439323580.0,1.8604,-76.3851,30.6574,-16.4927,-2.5,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
428,001914.SZ,招商积余,房地产,7029773324.64,18.9927,2472.667,29.0986,20.0456,4.8387,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
430,001979.SZ,招商蛇口,房地产,174051802298.0,21.1261,26.0345,22.6601,-4.5139,-1.2727,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
445,002016.SZ,世荣兆业,房地产,7605498940.8,30.8119,-12.0115,40.5893,-11.571,-2.8723,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
553,002133.SZ,广宇集团,房地产,3003679399.0,10.881,113.1275,33.6536,-5.5961,-8.7629,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
565,002146.SZ,荣盛发展,房地产,45003495857.85,24.7636,36.1487,25.5762,-8.0,-9.0821,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
621,002208.SZ,合肥城建,房地产,4327752000.0,13.7301,76.8024,49.5285,-5.2558,-4.8096,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
655,002244.SZ,滨江集团,房地产,14343756332.9,8.2398,36.4626,29.2508,-2.537,-10.0533,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
692,002285.SZ,世联行,房地产,10807316441.88,8.0192,-57.0312,22.2934,-12.4172,-11.5384,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
