000513.SZ,丽珠集团,医药,22163772689.9191 ,10.1021 ,-73.6677 ,26.2603 ,-2.4293 ,-9.0510 
000514.SZ,渝开发,房地产,4514174662.7500 ,0.8399 ,-55.8323 ,101.8515 ,8.2996 ,-7.4766 
000516.SZ,国际医学,商贸零售,11313822993.4800 ,46.7396 ,1082.2100 ,71.3701 ,-6.0556 ,-9.4077 
000517.SZ,荣安地产,房地产,10315908851.4000 ,13.5715 ,1.2194 ,28.5924 ,1.5674 ,-5.8642 
000518.SZ,四环生物,医药,3654924588.1000 ,-4.7954 ,-379.0216 ,49.8924 ,-13.2029 ,-4.7887 
000519.SZ,中兵红箭,国防军工,10722704161.4000 ,4.5111 ,189.1054 ,83.0434 ,-12.5000 ,2.8571 
000520.SZ,长航凤凰,交通运输,3430962912.4500 ,17.6149 ,20.4547 ,73.6586 ,-14.1772 ,2.6549 
000521.SZ,长虹美菱,家电,3798782507.0164 ,0.7680 ,-3.3765 ,74.0620 ,0.0000 ,-10.2828 
000523.SZ,广州浪奇,基础化工,3771474081.2500 ,1.7788 ,-2.1138 ,24.7829 ,5.2539 ,-7.3211 
000524.SZ,岭南控股,消费者服务,5757091848.2300 ,8.0229 ,17.7065 ,38.6586 ,6.3119 ,-2.5611 
000525.SZ,红太阳,基础化工,8154051136.9200 ,14.1762 ,-11.8310 ,39.7111 ,-8.1753 ,-6.3390 
000526.SZ,紫光学大,房地产,2152846494.6600 ,16.7611 ,-54.5462 ,33.0043 ,-17.8112 ,-2.6810 
000528.SZ,柳工,机械,10834618653.6000 ,8.4292 ,127.6164 ,79.1082 ,-5.6483 ,-8.7351 
000529.SZ,广弘控股,食品饮料,4483509734.4000 ,11.6677 ,22.7609 ,91.8082 ,18.8854 ,-15.6250 
000530.SZ,大冷股份,机械,3313522021.9200 ,3.2529 ,-45.2383 ,79.2322 ,-4.4025 ,-3.0702 
