,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std,roe_score,growth_score,turnover_score,ret_past_score
549,002129.SZ,中环股份,电力设备及新能源,28297189765.68,5.0324,33.5687,53.6779,2.4194,-0.1969,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.3819829381304437,0.025742104886697047,0.30638578233955266,-0.6178461165898366
586,002168.SZ,惠程科技,电力设备及新能源,7766891478.72,20.4273,478.3751,35.1233,-17.4026,-13.1027,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,2.355351045855179,2.713664867000579,0.5418291620390232,0.9768649340618358
587,002169.SZ,智光电气,电力设备及新能源,4001983329.52,2.8294,-48.0317,51.3042,-8.3032,20.2756,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.7736936193768518,-0.46736134991430767,0.336506181075857,0.24480390418090414
616,002202.SZ,金风科技,电力设备及新能源,45579712595.1299,13.5016,4.249,31.9641,-20.5498,-1.1246,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,1.1239072577897011,-0.15143405311901148,0.5819169421661381,1.230062119946759
624,002212.SZ,南洋股份,电力设备及新能源,17562606600.6,5.9782,14.2652,13.8444,-11.9628,-4.0237,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.21381227888266668,-0.09090710932979203,0.8118417805965271,0.5392244753122157
630,002218.SZ,拓日新能,电力设备及新能源,4079928943.2,3.1105,-45.5073,42.2675,-10.3261,3.9394,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.7237118343117744,-0.45210664085283675,0.4511748448751416,0.4075493882068989
638,002227.SZ,奥特迅,电力设备及新能源,2949387238.0,1.2851,-29.6525,44.6934,-8.9857,-6.5058,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-1.0482822735070505,-0.35629759267195804,0.4203920689159215,0.2997121017426923
673,002266.SZ,浙富控股,电力设备及新能源,10309130413.29,3.4762,6.0583,48.4058,2.5591,-9.7889,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.6586875056091819,-0.14050062533224258,0.37328461293215925,-0.6290852011310555
683,002276.SZ,万马股份,电力设备及新能源,6565000881.32,2.7965,5.4747,43.5454,-9.8151,-9.7792,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.7795434974581077,-0.14402726461614151,0.4349592921325358,0.36643863516063685
703,002298.SZ,中电兴发,电力设备及新能源,5124058830.15,4.1101,-2.5679,45.3657,-6.9095,1.4845,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.5459751130344664,-0.1926279313479536,0.4118611070966447,0.1326785489547294
705,002300.SZ,太阳电缆,电力设备及新能源,4319892000.0,8.469,10.1734,101.2104,-13.7595,-4.397,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,0.22907149998639953,-0.11563346748924652,-0.2967645116880784,0.6837718138605893
726,002322.SZ,理工环科,电力设备及新能源,5997532539.6,8.4738,-7.948,42.1124,2.0932,-15.6746,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,0.2299249776395921,-0.22513936385532962,0.4531429427156441,-0.591602813960305
736,002334.SZ,英威腾,电力设备及新能源,4424205557.7,12.4339,-16.2072,123.0642,-6.9731,-10.5952,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,0.9340618223077265,-0.2750489237826395,-0.5740721621508362,0.13779526890334431
740,002339.SZ,积成电子,电力设备及新能源,3157441920.0,4.1331,-8.4839,43.1172,-10.6904,6.9901,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.5418855326129198,-0.22837775657678513,0.4403928156354577,0.43685789571130834
747,002346.SZ,柘中股份,电力设备及新能源,6199718840.64,2.8023,-77.5835,27.7719,-9.4194,-1.2821,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.7785122119605004,-0.6459400661410459,0.63511268534444,0.3346039483105276
751,002350.SZ,北京科锐,电力设备及新能源,3351822232.5,6.9052,31.0841,33.3541,-8.8435,-6.7164,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.04898440710989315,0.010727903439172567,0.5642789279927114,0.28827188827267586
758,002358.SZ,森源电气,电力设备及新能源,11761425759.05,5.665,-37.022,36.9517,-13.4747,-15.8103,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.2695016957534679,-0.40083078013373524,0.5186281943306106,0.6608592062919486
763,002364.SZ,中恒电气,电力设备及新能源,5697641745.6,3.3636,20.6317,39.5093,-11.857,1.088,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.6787086688903192,-0.052434955455661555,0.48617424825150535,0.5307126990454946
838,002441.SZ,众业达,电力设备及新能源,4456844443.62,5.6359,0.8108,38.765,0.1224,-1.1002,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.2746759040259465,-0.1722107686534551,0.49561883382652805,-0.4330488568104556
